# Athena++ data at time=2.500000e-01  cycle=350  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0104 -2.99805e-01  9.95118e-01  9.93172e-01  5.78801e-03  0.00000e+00  0.00000e+00
0105 -2.97852e-01  9.92769e-01  9.89891e-01  8.58098e-03  0.00000e+00  0.00000e+00
0106 -2.95898e-01  9.89860e-01  9.85834e-01  1.20465e-02  0.00000e+00  0.00000e+00
0107 -2.93945e-01  9.86447e-01  9.81077e-01  1.61248e-02  0.00000e+00  0.00000e+00
0108 -2.91992e-01  9.82608e-01  9.75738e-01  2.07233e-02  0.00000e+00  0.00000e+00
0109 -2.90039e-01  9.78435e-01  9.69941e-01  2.57396e-02  0.00000e+00  0.00000e+00
0110 -2.88086e-01  9.74009e-01  9.63804e-01  3.10786e-02  0.00000e+00  0.00000e+00
0111 -2.86133e-01  9.69399e-01  9.57423e-01  3.66609e-02  0.00000e+00  0.00000e+00
0112 -2.84180e-01  9.64656e-01  9.50872e-01  4.24246e-02  0.00000e+00  0.00000e+00
0113 -2.82227e-01  9.59822e-01  9.44207e-01  4.83242e-02  0.00000e+00  0.00000e+00
0114 -2.80273e-01  9.54923e-01  9.37467e-01  5.43264e-02  0.00000e+00  0.00000e+00
0115 -2.78320e-01  9.49980e-01  9.30681e-01  6.04076e-02  0.00000e+00  0.00000e+00
0116 -2.76367e-01  9.45007e-01  9.23868e-01  6.65507e-02  0.00000e+00  0.00000e+00
0117 -2.74414e-01  9.40016e-01  9.17043e-01  7.27433e-02  0.00000e+00  0.00000e+00
0118 -2.72461e-01  9.35013e-01  9.10218e-01  7.89763e-02  0.00000e+00  0.00000e+00
0119 -2.70508e-01  9.30005e-01  9.03400e-01  8.52426e-02  0.00000e+00  0.00000e+00
0120 -2.68555e-01  9.24996e-01  8.96595e-01  9.15369e-02  0.00000e+00  0.00000e+00
0121 -2.66602e-01  9.19990e-01  8.89809e-01  9.78550e-02  0.00000e+00  0.00000e+00
0122 -2.64648e-01  9.14990e-01  8.83046e-01  1.04194e-01  0.00000e+00  0.00000e+00
0123 -2.62695e-01  9.09998e-01  8.76308e-01  1.10550e-01  0.00000e+00  0.00000e+00
0124 -2.60742e-01  9.05015e-01  8.69598e-01  1.16921e-01  0.00000e+00  0.00000e+00
0125 -2.58789e-01  9.00044e-01  8.62918e-01  1.23306e-01  0.00000e+00  0.00000e+00
0126 -2.56836e-01  8.95085e-01  8.56269e-01  1.29703e-01  0.00000e+00  0.00000e+00
0127 -2.54883e-01  8.90140e-01  8.49654e-01  1.36111e-01  0.00000e+00  0.00000e+00
0128 -2.52930e-01  8.85210e-01  8.43073e-01  1.42528e-01  0.00000e+00  0.00000e+00
0129 -2.50977e-01  8.80295e-01  8.36527e-01  1.48954e-01  0.00000e+00  0.00000e+00
0130 -2.49023e-01  8.75396e-01  8.30016e-01  1.55387e-01  0.00000e+00  0.00000e+00
0131 -2.47070e-01  8.70514e-01  8.23543e-01  1.61828e-01  0.00000e+00  0.00000e+00
